id,by_user,liked_post,liked_date
532,74,853,2021/06/12
2973,15,208,2021/06/12
1223,60,899,2021/06/11
1786,1,182,2021/06/11
2354,87,701,2021/06/11
3240,19,911,2021/06/11
2443,96,189,2021/06/10
2226,47,21,2021/06/10
1356,39,110,2021/06/09
489,69,850,2021/06/09
4150,48,174,2021/06/09
1243,23,926,2021/06/08
4441,20,673,2021/06/08
2035,88,77,2021/06/08
1607,22,376,2021/06/08
2493,76,60,2021/06/07
3172,72,64,2021/06/07
598,82,478,2021/06/07
1998,66,534,2021/06/07
2706,90,178,2021/06/06
3510,64,572,2021/06/06
432,30,389,2021/06/06
457,20,984,2021/06/06
1732,77,180,2021/06/06
1606,32,251,2021/06/06
3590,15,11,2021/06/06
2489,6,736,2021/06/06
507,54,745,2021/06/06
291,27,598,2021/06/06
1047,15,543,2021/06/06
4720,86,8,2021/06/05
3802,5,606,2021/06/05
4536,28,200,2021/06/05
1972,3,339,2021/06/05
470,3,312,2021/06/05
1238,75,139,2021/06/04
4883,14,68,2021/06/04
2752,82,233,2021/06/04
419,60,651,2021/06/03
213,96,717,2021/06/02
2438,38,725,2021/06/02
3421,72,896,2021/06/02
3180,44,52,2021/06/02
1763,9,372,2021/06/02
3926,76,759,2021/06/01
2926,60,641,2021/06/01
3680,95,13,2021/06/01
2477,93,756,2021/06/01
4241,21,549,2021/06/01
873,68,737,2021/05/31
3361,64,500,2021/05/31
4748,8,449,2021/05/31
4745,18,192,2021/05/31
4609,62,806,2021/05/30
4837,5,452,2021/05/30
3862,32,463,2021/05/30
2759,52,412,2021/05/30
2070,2,47,2021/05/30
1059,18,971,2021/05/29
730,44,573,2021/05/29
4864,24,987,2021/05/29
1289,4,500,2021/05/29
3081,21,512,2021/05/28
3477,18,447,2021/05/28
112,73,784,2021/05/27
3357,91,962,2021/05/27
2133,51,118,2021/05/27
1062,28,292,2021/05/27
3061,88,503,2021/05/27
372,21,194,2021/05/26
201,13,580,2021/05/26
3965,42,528,2021/05/26
804,46,200,2021/05/26
2298,6,791,2021/05/25
129,15,825,2021/05/25
2042,6,453,2021/05/25
3200,44,700,2021/05/25
795,47,118,2021/05/25
796,48,811,2021/05/25
4154,22,92,2021/05/25
867,30,680,2021/05/25
717,15,720,2021/05/24
342,13,708,2021/05/24
3696,20,648,2021/05/24
1743,21,834,2021/05/24
3644,11,221,2021/05/24
1188,17,826,2021/05/23
1189,74,166,2021/05/23
4950,86,478,2021/05/23
3769,50,986,2021/05/23
2880,72,106,2021/05/22
3635,45,667,2021/05/22
387,63,839,2021/05/22
1637,59,592,2021/05/22
3496,22,333,2021/05/21
4428,1,708,2021/05/21
4793,61,10,2021/05/20
4692,86,220,2021/05/20
2487,66,221,2021/05/19
297,60,716,2021/05/19
272,65,240,2021/05/19
2971,50,477,2021/05/19
4018,56,895,2021/05/19
3570,37,884,2021/05/19
2915,74,798,2021/05/19
4052,83,404,2021/05/19
4787,93,688,2021/05/19
1865,34,389,2021/05/19
2925,33,172,2021/05/18
4115,34,510,2021/05/18
4259,100,437,2021/05/18
802,80,531,2021/05/17
504,61,749,2021/05/17
2819,10,197,2021/05/17
2165,39,749,2021/05/17
798,91,843,2021/05/17
4916,96,410,2021/05/17
1382,92,900,2021/05/17
2768,4,823,2021/05/16
2877,52,695,2021/05/16
2485,74,452,2021/05/16
3691,14,451,2021/05/16
1436,47,403,2021/05/15
92,17,591,2021/05/15
2402,1,106,2021/05/15
1342,89,776,2021/05/15
4730,55,729,2021/05/15
1895,81,436,2021/05/15
3327,3,887,2021/05/14
184,42,706,2021/05/14
3809,37,129,2021/05/14
1950,15,993,2021/05/14
4159,40,341,2021/05/14
1840,2,758,2021/05/14
2375,55,447,2021/05/13
2310,97,784,2021/05/13
2481,100,352,2021/05/13
1824,1,625,2021/05/13
3381,20,57,2021/05/12
3773,17,556,2021/05/12
170,56,455,2021/05/11
4879,3,543,2021/05/11
4936,6,213,2021/05/11
2091,19,92,2021/05/11
2736,77,790,2021/05/11
4892,73,330,2021/05/11
164,29,121,2021/05/11
1119,1,591,2021/05/10
4019,8,355,2021/05/10
1308,4,250,2021/05/10
4927,94,260,2021/05/10
1261,94,673,2021/05/10
2391,5,495,2021/05/10
2318,59,557,2021/05/09
4547,37,631,2021/05/09
1492,82,246,2021/05/09
97,81,487,2021/05/09
2928,69,344,2021/05/08
860,1,849,2021/05/08
1323,33,751,2021/05/08
4781,23,290,2021/05/08
2696,64,964,2021/05/08
415,77,340,2021/05/07
514,2,132,2021/05/07
3489,12,573,2021/05/07
283,26,244,2021/05/06
3997,29,538,2021/05/06
506,1,319,2021/05/06
2107,90,213,2021/05/06
555,33,806,2021/05/06
2425,75,425,2021/05/05
3623,7,427,2021/05/05
4612,77,908,2021/05/05
3321,46,574,2021/05/05
99,61,775,2021/05/05
4676,47,635,2021/05/04
3725,8,113,2021/05/04
3814,49,41,2021/05/04
1546,99,278,2021/05/04
4223,33,698,2021/05/04
4364,82,567,2021/05/04
3987,86,872,2021/05/03
1144,71,153,2021/05/03
3094,8,910,2021/05/03
1126,86,548,2021/05/02
3074,83,461,2021/05/01
751,21,876,2021/05/01
1186,67,337,2021/05/01
259,1,269,2020/05/16
1731,59,994,2021/04/30
3099,31,81,2021/04/30
2068,70,365,2021/04/30
4140,1,604,2021/04/30
1821,2,123,2021/04/30
386,85,386,2021/04/30
4237,73,243,2021/04/30
4607,96,516,2021/04/30
1958,39,794,2021/04/30
3803,93,875,2021/04/30
3873,58,29,2021/04/29
2472,26,266,2021/04/29
472,89,823,2021/04/28
2814,38,428,2021/04/28
2340,93,784,2021/04/28
289,68,58,2021/04/28
4638,27,592,2021/04/28
3522,26,582,2021/04/28
4004,77,260,2021/04/27
1196,49,541,2021/04/27
3453,80,725,2021/04/27
2554,62,565,2021/04/26
98,38,509,2021/04/26
333,26,417,2021/04/26
292,29,335,2021/04/26
4567,53,797,2021/04/25
4318,34,639,2021/04/25
1912,69,899,2021/04/25
3120,86,807,2021/04/25
1651,99,677,2021/04/25
3924,97,373,2021/04/25
2186,18,758,2021/04/24
724,75,509,2021/04/24
3087,35,311,2021/04/24
1712,75,422,2021/04/24
1306,43,892,2021/04/23
4196,67,950,2021/04/23
806,97,22,2021/04/22
1130,97,688,2021/04/22
2977,32,305,2021/04/22
2917,58,949,2021/04/22
1692,64,463,2021/04/22
4738,61,23,2021/04/21
3790,85,510,2021/04/21
1906,18,878,2021/04/21
3932,54,922,2021/04/21
4821,46,604,2021/04/21
1380,71,590,2021/04/20
2617,61,597,2021/04/19
147,47,160,2021/04/19
116,29,872,2021/04/19
699,98,513,2021/04/19
2338,4,817,2021/04/19
1809,10,656,2021/04/18
4021,100,655,2021/04/18
4093,50,79,2021/04/18
1940,70,698,2021/04/18
503,39,167,2021/04/17
3972,45,399,2021/04/17
4885,28,795,2021/04/17
2884,8,547,2021/04/17
4089,3,118,2021/04/16
2444,41,329,2021/04/16
1337,33,933,2021/04/16
928,46,938,2021/04/16
4031,76,394,2021/04/16
1435,56,456,2021/04/16
3201,72,642,2021/04/15
120,48,168,2021/04/14
1633,87,906,2021/04/14
1649,10,206,2021/04/14
1807,53,395,2021/04/14
4640,10,850,2021/04/14
4227,59,767,2021/04/14
2062,29,832,2021/04/14
4346,15,70,2021/04/13
3931,30,317,2021/04/13
4257,22,442,2021/04/13
377,97,544,2021/04/12
4357,46,361,2021/04/12
3882,59,683,2021/04/12
623,94,428,2021/04/12
841,30,566,2021/04/12
4959,50,570,2021/04/11
4813,45,396,2021/04/11
1401,66,880,2021/04/11
3853,51,689,2021/04/11
584,76,361,2021/04/11
4067,44,436,2021/04/11
2034,53,978,2021/04/11
4043,18,211,2021/04/10
405,36,349,2021/04/10
1559,48,395,2021/04/10
2007,46,32,2021/04/10
3251,69,636,2021/04/10
918,86,987,2021/04/10
2129,23,5,2021/04/10
1623,48,545,2021/04/10
1873,72,47,2021/04/10
2573,43,275,2021/04/09
4806,55,428,2021/04/09
3009,59,808,2021/04/09
16,21,130,2021/04/09
357,32,714,2021/04/09
4034,65,616,2021/04/09
1917,7,620,2021/04/09
2398,29,149,2021/04/09
59,23,492,2021/04/09
4686,35,755,2021/04/08
86,69,403,2021/04/08
2886,84,243,2021/04/08
453,37,176,2021/04/08
113,39,213,2021/04/07
4529,24,574,2021/04/07
3390,7,240,2021/04/06
4590,91,108,2021/04/06
1145,41,607,2021/04/05
1616,96,536,2021/04/05
1851,97,345,2021/04/05
2494,67,768,2021/04/05
4399,50,439,2021/04/05
2175,93,280,2021/04/04
1822,54,202,2021/04/04
2976,37,362,2021/04/04
37,65,817,2021/04/04
487,60,751,2021/04/04
2939,19,931,2021/04/04
1088,18,848,2021/04/04
4766,56,529,2021/04/03
2004,57,715,2021/04/03
1105,95,714,2021/04/03
4072,35,19,2021/04/03
1778,26,168,2021/04/03
901,36,181,2021/04/03
2400,82,628,2021/04/02
726,98,697,2021/04/02
2707,14,166,2021/04/02
4798,75,947,2021/04/01
3192,57,765,2021/04/01
3082,13,485,2021/04/01
559,70,530,2021/04/01
4496,42,86,2021/04/01
728,22,536,2021/03/31
4593,88,828,2021/03/31
151,90,781,2021/03/31
4934,93,745,2021/03/31
2270,90,372,2021/03/31
3089,75,422,2021/03/31
2544,94,657,2021/03/31
88,31,476,2021/03/30
1646,72,873,2021/03/30
3265,68,401,2021/03/29
1010,58,989,2021/03/29
3651,30,953,2021/03/29
1334,100,379,2021/03/29
743,4,885,2021/03/28
1420,96,212,2021/03/28
3962,9,642,2021/03/28
4571,57,919,2021/03/28
2218,70,930,2021/03/27
1555,54,105,2021/03/27
3551,48,524,2021/03/27
4759,42,925,2021/03/27
4247,80,77,2021/03/27
558,32,446,2021/03/27
3581,100,357,2021/03/27
3585,96,548,2021/03/27
4412,13,372,2021/03/27
2702,96,666,2021/03/26
3050,8,623,2021/03/26
4303,99,189,2021/03/26
3548,94,783,2021/03/26
416,20,866,2021/03/26
2020,98,461,2021/03/26
2021,66,993,2021/03/26
3483,69,819,2021/03/26
4490,100,277,2021/03/25
4556,92,990,2021/03/25
4949,25,167,2021/03/25
488,68,441,2021/03/24
5000,17,21,2021/03/24
4549,26,141,2021/03/24
2503,94,889,2021/03/24
2564,58,931,2021/03/24
2815,12,811,2021/03/23
4080,21,5,2021/03/23
1232,95,304,2021/03/23
2139,16,222,2021/03/23
80,64,634,2021/03/23
1114,61,984,2021/03/22
373,6,139,2021/03/22
1504,50,623,2021/03/22
4815,42,137,2021/03/22
1699,39,613,2021/03/22
4587,97,43,2021/03/21
3660,49,719,2021/03/21
610,67,981,2021/03/21
516,72,328,2021/03/21
4197,49,101,2021/03/20
1723,38,759,2021/03/20
4101,4,820,2021/03/20
2865,41,564,2021/03/19
95,90,408,2021/03/19
727,83,299,2021/03/19
3539,15,691,2021/03/19
1655,29,674,2021/03/19
3409,17,575,2021/03/18
2829,56,113,2021/03/18
4741,46,816,2021/03/18
609,10,61,2021/03/18
1322,22,872,2021/03/18
3597,64,331,2021/03/18
3912,74,261,2021/03/18
1176,27,750,2021/03/17
2442,86,479,2021/03/17
2190,40,60,2021/03/17
4133,16,603,2021/03/17
1941,94,651,2021/03/16
4792,80,902,2021/03/15
589,65,504,2021/03/15
1373,59,921,2021/03/15
3954,95,474,2021/03/15
4027,36,877,2021/03/15
3663,3,504,2021/03/15
307,97,171,2021/03/15
4361,8,825,2021/03/15
643,4,583,2021/03/14
468,15,447,2021/03/14
521,8,505,2021/03/14
1003,5,602,2021/03/14
614,17,762,2021/03/14
1147,34,148,2021/03/13
502,1,288,2021/03/13
1034,70,304,2021/03/13
816,17,234,2021/03/13
1404,85,828,2021/03/13
2748,32,815,2021/03/12
308,76,148,2021/03/12
1710,31,88,2021/03/12
2195,76,539,2021/03/11
2935,61,306,2021/03/11
4952,63,454,2021/03/11
3991,33,379,2021/03/10
2847,24,702,2021/03/10
4183,78,639,2021/03/10
3226,20,963,2021/03/10
3674,2,750,2021/03/10
3047,48,745,2021/03/10
3800,4,252,2021/03/09
4928,68,205,2021/03/09
4697,98,904,2021/03/09
87,8,665,2021/03/09
930,24,836,2021/03/09
822,44,49,2021/03/08
2818,4,266,2021/03/08
2806,11,803,2021/03/08
2262,88,506,2021/03/08
2733,2,523,2021/03/08
687,93,129,2021/03/08
3183,95,536,2021/03/07
999,15,157,2021/03/07
4188,15,512,2021/03/07
4526,40,402,2021/03/06
348,33,196,2021/03/06
2804,42,797,2021/03/06
3356,94,352,2021/03/06
3950,78,532,2021/03/06
1758,2,263,2021/03/06
3319,84,880,2021/03/06
4210,90,129,2021/03/05
2675,19,75,2021/03/05
667,49,965,2021/03/05
4621,17,980,2021/03/05
641,98,17,2021/03/04
3384,72,983,2021/03/04
4205,80,335,2021/03/04
1872,55,728,2021/03/03
4113,81,967,2021/03/03
2276,67,766,2021/03/03
2812,1,2,2021/03/03
2522,95,849,2021/03/02
1908,62,230,2021/03/02
2260,24,860,2021/03/02
1158,50,861,2021/03/02
3868,92,286,2021/03/01
1339,49,844,2021/03/01
3636,2,429,2021/03/01
35,3,885,2021/03/01
1866,85,294,2021/03/01
1043,26,524,2021/03/01
3437,7,352,2021/02/28
2642,19,593,2021/02/28
1660,44,155,2021/02/27
1068,100,117,2021/02/27
1447,100,350,2021/02/27
3069,33,806,2021/02/26
3345,29,125,2021/02/26
2345,87,826,2021/02/26
2124,91,735,2021/02/26
231,78,425,2021/02/26
2079,10,7,2021/02/26
3044,48,383,2021/02/25
4816,61,327,2021/02/25
425,40,891,2021/02/25
4546,91,31,2021/02/25
1321,52,289,2021/02/25
391,92,774,2020/05/31
4659,49,580,2021/02/25
4562,27,48,2021/02/25
3880,65,952,2021/02/24
637,7,98,2021/02/24
3193,98,916,2021/02/24
2948,12,543,2021/02/23
3996,29,655,2021/02/23
3015,48,560,2021/02/23
3643,95,224,2021/02/23
3308,23,762,2021/02/23
3544,47,677,2021/02/23
2539,69,525,2021/02/23
1765,65,455,2021/02/23
789,38,663,2021/02/22
3059,68,692,2021/02/22
703,32,814,2021/02/22
1871,74,454,2021/02/22
4811,98,591,2021/02/22
328,87,891,2021/02/22
541,17,626,2021/02/22
221,40,439,2021/02/22
1149,18,60,2021/02/22
2454,83,983,2021/02/21
1244,82,173,2021/02/21
984,7,504,2021/02/21
3967,82,381,2021/02/21
927,7,234,2021/02/20
1448,46,873,2021/02/20
4393,46,242,2021/02/20
2253,49,622,2021/02/19
3312,14,668,2021/02/19
4209,7,282,2021/02/19
1575,76,887,2021/02/19
1757,49,59,2021/02/19
4884,36,316,2021/02/19
3719,99,69,2021/02/19
50,84,696,2021/02/19
238,57,433,2021/02/19
2885,74,69,2021/02/18
1739,62,665,2021/02/18
4030,41,865,2021/02/18
3315,73,803,2021/02/18
3469,9,748,2021/02/17
3167,8,465,2021/02/16
3855,97,949,2021/02/16
3207,56,904,2021/02/16
4985,90,655,2021/02/16
2899,80,412,2021/02/16
2511,43,932,2021/02/16
1270,15,297,2021/02/16
4124,9,65,2021/02/16
781,23,102,2021/02/15
790,62,638,2021/02/15
1796,73,107,2021/02/15
1898,79,223,2021/02/15
315,90,879,2021/02/14
3024,95,575,2021/02/14
1857,50,823,2021/02/14
256,52,745,2021/02/14
1249,77,756,2021/02/14
4129,87,802,2021/02/13
4595,2,976,2020/12/07
3272,86,700,2021/02/13
2960,77,936,2021/02/13
4460,95,661,2021/02/13
2476,66,414,2021/02/13
4771,80,71,2021/02/13
3014,20,971,2021/02/12
1654,72,911,2021/02/12
3844,37,175,2021/02/12
2192,32,534,2021/02/11
440,24,60,2021/02/11
3036,48,185,2021/02/11
388,41,640,2021/02/10
1300,27,392,2021/02/10
3336,6,613,2021/02/10
3783,22,957,2021/02/10
2243,48,101,2021/02/10
723,58,984,2021/02/10
3624,52,973,2021/02/09
3254,35,932,2021/02/09
3324,81,70,2021/02/09
1167,31,494,2021/02/09
3900,39,452,2021/02/09
1365,69,955,2021/02/09
4365,35,86,2021/02/08
3761,36,660,2021/02/08
2434,15,175,2021/02/08
4145,3,28,2021/02/07
823,46,40,2021/02/07
1200,4,413,2021/02/07
4219,93,417,2021/02/06
2452,24,465,2021/02/06
2083,45,572,2021/02/06
2521,64,860,2021/02/06
2418,30,413,2021/02/06
1925,82,592,2021/02/06
2828,37,319,2021/02/06
655,27,442,2021/02/06
4700,40,326,2021/02/06
261,13,199,2021/02/06
1588,23,881,2021/02/05
2037,92,49,2021/02/05
444,28,299,2021/02/05
2800,70,853,2021/02/05
1389,56,74,2021/02/05
3054,29,833,2021/02/05
4776,55,351,2021/02/05
4690,15,928,2021/02/04
1817,31,899,2021/02/04
3961,41,996,2021/02/04
1578,3,615,2021/02/04
3821,27,138,2021/02/03
4316,69,165,2021/02/03
2995,63,57,2021/02/03
1888,57,254,2021/02/02
4026,52,357,2021/02/02
4061,39,15,2021/02/02
4291,66,469,2021/02/02
2202,54,779,2021/02/02
4267,15,842,2021/02/02
3380,69,966,2021/02/01
2193,20,401,2021/02/01
3275,97,231,2021/02/01
2018,93,894,2021/02/01
1471,40,908,2021/02/01
1973,11,471,2021/02/01
1482,74,713,2021/01/31
4424,60,773,2021/01/31
1194,27,293,2021/01/31
942,85,63,2021/01/30
2762,35,858,2021/01/30
1670,39,560,2021/01/30
3423,13,993,2021/01/30
1366,90,41,2021/01/30
2954,61,931,2021/01/29
2871,53,586,2021/01/29
223,40,593,2021/01/29
281,2,247,2021/01/29
1814,71,500,2021/01/29
2597,42,499,2021/01/28
4636,85,323,2021/01/28
1053,57,941,2021/01/27
1724,18,104,2021/01/27
3155,46,817,2021/01/27
3020,87,333,2021/01/27
3288,42,468,2021/01/26
1266,90,885,2021/01/26
1535,56,121,2021/01/26
690,31,177,2021/01/25
3935,2,529,2021/01/25
2382,51,286,2021/01/25
2334,11,831,2021/01/25
1891,72,724,2021/01/25
3885,60,277,2021/01/25
3148,50,30,2021/01/24
2201,95,757,2021/01/24
3923,46,161,2021/01/24
4755,52,400,2021/01/24
412,42,44,2021/01/23
4091,99,872,2021/01/23
163,18,932,2021/01/23
3985,50,433,2021/01/23
2626,76,904,2021/01/22
1460,100,535,2021/01/22
4611,34,229,2021/01/22
1517,75,3,2021/01/22
171,49,875,2021/01/21
1656,34,790,2021/01/21
384,94,228,2021/01/21
2027,47,328,2021/01/21
3378,33,123,2021/01/20
169,32,932,2021/01/20
198,12,937,2021/01/20
961,40,209,2021/01/20
1317,59,63,2021/01/20
1094,56,146,2021/01/19
2760,3,891,2021/01/19
4207,26,482,2021/01/19
1054,50,872,2021/01/19
2356,4,250,2021/01/19
4193,27,978,2021/01/18
883,5,380,2021/01/18
341,51,266,2021/01/18
2057,8,42,2021/01/18
669,13,724,2021/01/18
4747,11,362,2021/01/18
2516,76,849,2021/01/17
2453,38,767,2021/01/17
2633,74,882,2021/01/16
1067,51,27,2021/01/16
797,86,564,2021/01/16
1680,32,57,2021/01/16
3075,78,504,2021/01/16
1745,80,75,2021/01/16
4558,73,615,2021/01/16
3810,89,898,2021/01/15
2364,85,983,2021/01/15
776,97,207,2021/01/15
4860,47,283,2021/01/15
1457,45,622,2021/01/15
2416,93,238,2021/01/14
557,62,211,2021/01/13
854,84,676,2021/01/13
2271,12,135,2021/01/13
146,46,514,2021/01/13
4053,44,593,2021/01/12
2331,38,525,2021/01/12
3859,20,440,2021/01/12
1942,44,823,2021/01/12
236,76,274,2021/01/12
2868,21,909,2021/01/11
442,38,484,2021/01/11
835,64,705,2021/01/11
579,92,930,2021/01/11
3646,22,448,2021/01/11
2907,18,978,2021/01/11
42,90,510,2021/01/10
3760,46,255,2021/01/10
1545,2,4,2021/01/10
2750,14,736,2021/01/10
4283,83,640,2021/01/10
3485,62,666,2021/01/10
4948,62,712,2021/01/10
693,93,491,2021/01/09
1782,3,987,2021/01/09
4585,92,566,2021/01/09
335,31,745,2021/01/09
4649,94,450,2021/01/09
556,87,35,2021/01/09
311,52,378,2021/01/08
428,32,834,2021/01/08
400,85,470,2021/01/08
4767,64,9,2021/01/08
2708,65,481,2021/01/08
3560,80,920,2021/01/08
1563,72,145,2021/01/08
596,21,624,2021/01/08
1073,51,528,2021/01/07
987,91,750,2021/01/07
1231,28,996,2021/01/07
2845,57,443,2021/01/07
1603,75,510,2021/01/07
3426,10,119,2021/01/07
2958,33,815,2021/01/07
4174,94,444,2021/01/06
1024,81,102,2021/01/06
3347,58,782,2021/01/05
278,15,323,2021/01/05
3823,86,811,2021/01/05
3598,82,164,2021/01/05
3287,86,817,2021/01/04
3280,72,676,2021/01/04
509,63,767,2021/01/04
4439,47,948,2021/01/04
849,48,641,2021/01/03
4077,58,778,2021/01/03
2932,59,982,2021/01/03
2038,33,347,2021/01/03
2313,79,987,2021/01/03
2281,91,108,2021/01/02
4292,14,285,2021/01/02
2358,34,669,2021/01/02
1402,92,541,2021/01/01
2820,15,603,2021/01/01
3286,73,539,2021/01/01
4003,50,672,2021/01/01
3448,62,566,2021/01/01
2529,62,756,2020/12/31
209,40,359,2020/12/31
2131,59,491,2020/12/31
2545,72,608,2020/12/31
1784,88,894,2020/12/31
895,34,470,2020/12/30
2827,3,963,2020/12/30
3407,24,262,2020/12/30
4500,4,215,2020/12/29
13,94,582,2020/12/29
1058,66,758,2020/12/29
4854,91,296,2020/12/28
1953,22,997,2020/12/28
3659,19,464,2020/12/28
4578,26,553,2020/12/28
2302,29,886,2020/12/28
2974,18,18,2020/12/28
1283,81,577,2020/12/28
484,16,481,2020/12/28
3101,20,105,2020/12/27
3778,25,411,2020/12/27
4170,29,431,2020/12/27
208,77,891,2020/12/27
530,53,169,2020/12/27
4015,64,389,2020/12/26
1273,96,481,2020/12/26
2811,11,514,2020/12/26
390,31,730,2020/12/26
2690,73,513,2020/12/26
2507,27,388,2020/12/26
2937,9,414,2020/12/26
3017,62,540,2020/12/26
512,100,900,2020/12/26
2580,58,832,2020/12/26
4298,28,799,2020/12/25
783,58,221,2020/12/25
2770,65,238,2020/12/25
458,80,879,2020/12/25
2562,37,627,2020/12/24
402,91,684,2020/12/24
3106,23,731,2020/12/23
3826,77,952,2020/12/23
2166,65,280,2020/12/23
4068,16,783,2020/12/23
403,70,592,2020/12/22
293,56,826,2020/12/22
3715,5,519,2020/12/22
2532,30,908,2020/12/22
3543,18,549,2020/12/22
3416,42,115,2020/12/20
3952,42,281,2020/12/20
1220,1,445,2020/12/20
2225,64,674,2020/12/18
4225,48,587,2020/12/18
2272,78,1,2020/12/18
3497,18,480,2020/12/18
47,38,898,2020/12/18
971,53,55,2020/12/17
3076,63,345,2020/12/17
194,23,226,2020/12/17
3157,89,950,2020/12/17
840,47,671,2020/12/17
3981,75,137,2020/12/16
3439,8,919,2020/12/16
603,83,327,2020/12/16
4280,99,972,2020/12/16
4037,47,178,2020/12/16
863,15,213,2020/12/16
74,22,783,2020/12/16
4152,32,61,2020/12/16
3556,19,286,2020/12/16
2951,99,24,2020/12/15
1600,60,151,2020/12/15
4250,20,720,2020/12/15
157,53,668,2020/12/15
992,11,440,2020/12/15
1211,47,593,2020/12/15
3514,67,494,2020/12/14
3393,84,584,2020/12/14
54,24,791,2020/12/14
1639,37,564,2020/12/14
3784,99,211,2020/12/14
897,99,392,2020/12/13
1956,83,92,2020/12/13
4827,51,490,2020/12/13
4294,25,553,2020/12/12
3473,38,493,2020/12/12
3593,34,199,2020/12/12
553,87,33,2020/12/12
2900,47,391,2020/12/12
1576,49,746,2020/12/12
1976,93,104,2020/12/12
2108,45,356,2020/12/11
3671,22,343,2020/12/11
3490,4,808,2020/12/11
4899,33,737,2020/12/11
4695,2,362,2020/12/11
3125,81,949,2020/12/11
2805,79,387,2020/12/11
2543,85,71,2020/12/11
3430,85,465,2020/12/10
3714,80,312,2020/12/10
3559,91,914,2020/12/10
4687,71,883,2020/12/10
4913,52,150,2020/12/10
2031,38,646,2020/12/09
3208,69,298,2020/12/08
4980,37,572,2020/12/08
1332,62,967,2020/12/08
1430,41,890,2020/12/08
1518,11,976,2021/05/01
2069,91,666,2020/12/06
2343,58,425,2020/12/06
2284,100,322,2020/12/06
4320,82,758,2020/12/05
4184,86,985,2020/12/05
945,38,112,2020/12/05
722,64,66,2020/12/05
762,24,888,2020/12/04
3442,76,21,2020/12/04
2163,7,836,2020/12/04
755,25,277,2020/12/04
4672,74,444,2020/12/04
1411,75,334,2020/12/04
